Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Experiment;Notes
19_11_25_13_34_54;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_13_51_0;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_13_52_22;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_14_6_43;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_14_10_9;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_14_13_55;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_14_15_27;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_14_26_47;[1361.0];[1];[5.0];[1001.0];5000;Boats;No Notes. Change in text file if necessary.
19_11_25_15_22_38;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_23_49;[8500.0];[5];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_26_33;[1365.0];[2];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_29_22;[1365.0];[2];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_33_30;[1365.0];[2];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_35_13;[1365.0];[2];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_36_26;[8500.0];[4];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_37_45;[1300.0];[1];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_38_24;[1300.0];[1];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_39_12;[1300.0];[1];[5.0];[1001.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_39_54;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_40_30;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_25_15_41_27;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_11_49;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
19_11_26_9_14_34;[1300.0, 8500.0];[1, 4];[5.0, 10.0];[1001.0, 1000.0];5000;Testing;No Notes. Change in text file if necessary.
